run_number,steps,rewards,exploration_probability,advancing_steps,advancing_rewards,testing_steps,testing_rewards,successful_network_update
1,1,-1,1,1,-1,3,-1.3,1
2,5,-2.0,0.995405417351527,,,,,
3,1,-1,0.9908319448927676,,,,,
4,1,-1,0.9862794856312105,,,,,
5,2,-1.1,0.9817479430199845,,,,,
6,1,-1.0,0.9772372209558108,,,,,
7,1,-1,0.9727472237769652,,,,,
8,1,-1,0.9682778562612493,,,,,
9,1,-1,0.9638290236239707,,,,,
10,11,-2.5,0.9594006315159334,,,,,
11,2,-1.1,0.9549925860214362,3,-1.3,,,
12,1,-1,0.9506047936562818,,,,,
13,1,-1,0.9462371613657934,,,,,
14,1,-1,0.9418895965228418,,,,,
15,1,-1,0.9375620069258807,,,,,
16,4,-0.30000000000000004,0.9332543007969915,,,,,
17,1,-1,0.9289663867799368,,,,,
18,1,-1,0.9246981739382231,,,,,
19,2,-1.1,0.9204495717531719,,,,,
20,1,-1,0.9162204901220004,,,,,
21,1,-1,0.9120108393559103,1,-1,,,1
22,1,-1,0.9078205301781863,,,,,
23,1,-1,0.9036494737223021,,,,,
24,6,-2.5,0.8994975815300358,,,,,
25,1,-1,0.8953647655495944,,,,,
26,1,-1,0.8912509381337461,,,15,-0.30000000000000004,
27,1,-1,0.8871560120379615,,,,,
28,2,-1.1,0.8830799004185633,,,,,
29,7,-3.1,0.879022516830885,,,,,
30,2,-1.1,0.8749837752274366,,,,,
31,2,-1.1,0.8709635899560813,1,-1.0,,,
32,1,-1,0.8669618757582173,,,,,
33,1,-1,0.8629785477669709,,,,,
34,5,-2.0,0.8590135215053963,,,,,
35,9,-4.6,0.8550667128846839,,,,,
36,2,-1.1,0.8511380382023771,,,,,
37,4,-0.19999999999999996,0.8472274141405971,,,,,
38,1,-1.0,0.843334757764276,,,,,
39,1,-1.0,0.8394599865193981,,,,,
40,1,-1,0.8356030182312487,,,,,
41,1,-1,0.8317637711026717,2,-1.1,,,1
42,1,-1,0.827942163712335,,,,,
43,1,-1,0.824138115013003,,,,,
44,2,-1.1,0.820351544329819,,,,,
45,5,-2.0,0.8165823713585932,,,,,
46,7,-3.1,0.8128305161641001,,,,,
47,1,-1.0,0.8090958991783831,,,,,
48,1,-1,0.8053784411990674,,,,,
49,6,-2.5,0.80167806338768,,,,,
50,4,-1.6,0.7979946872679775,,,,,
51,3,-0.09999999999999998,0.7943282347242824,9,-3.5000000000000004,33,-1.3000000000000007,
52,1,-1,0.790678627999826,,,,,
53,1,-1,0.7870457896950995,,,,,
54,6,-2.5,0.7834296427662127,,,,,
55,5,-0.6000000000000001,0.7798301105232597,,,,,
56,1,-1,0.7762471166286927,,,,,
57,10,-3.5999999999999996,0.7726805850957034,,,,,
58,6,-2.5,0.7691304402866107,,,,,
59,3,-1.3,0.7655966069112574,,,,,
60,3,-1.3,0.7620790100254131,,,,,
61,2,-1.1,0.7585775750291849,12,-0.8,,,1
62,3,-0.09999999999999998,0.755092227665435,,,,,
63,2,-1.1,0.7516228940182066,,,,,
64,1,-1,0.7481695005111555,,,,,
65,1,-1.0,0.7447319739059902,,,,,
66,1,-1,0.7413102413009187,,,,,
67,1,-1,0.7379042301291022,,,,,
