run_number,steps,rewards,exploration_probability,advancing_steps,advancing_rewards,testing_steps,testing_rewards,successful_network_update
1,2,-0.627655343542,0.5,,,62,15.4127757859,1
2,1,-0.640339337205,0.499542064467145,,,,,0
3,1,-0.741921770612,0.4990845483441945,,,,,1
4,1,-0.722339936384,0.4986274512470231,,,,,0
5,2,-0.875848369091,0.49817077279185723,,,,,1
6,1,-0.766730255102,0.49771451259527477,,,,,1
7,1,-0.684352857379,0.4972586702742048,,,,,0
8,1,-0.745768160277,0.4968032454459272,,,,,1
9,1,-0.622843829378,0.49634823772807246,,,,,1
10,1,-0.711859807403,0.4958936467386212,,,,,0
11,1,-0.736968984186,0.4954394720959039,61,15.2479831719,,,0
12,1,-0.67799039351,0.4949857134186006,,,,,0
13,1,-0.652943383304,0.49453237032574066,,,,,0
14,1,-0.634908018799,0.4940794424367023,,,,,0
15,1,-0.637779448092,0.4936269293712124,,,,,0
16,2,-0.555923919382,0.49317483074934604,,,,,0
17,2,-0.858593637613,0.4927231461915263,,,,,0
18,1,-0.656748507066,0.4922718753185239,,,,,0
19,1,-0.617528012688,0.49182101775145687,,,,,0
20,3,-1.06739196594,0.4913705731117903,,,,,0
21,1,-0.639987844296,0.49092054102133587,58,15.445334928,,,0
22,1,-0.637633508808,0.4904709211022517,,,,,0
23,2,-0.54874187163,0.490021712977042,,,,,0
24,1,-0.648980260797,0.4895729162685567,,,,,0
25,2,-0.60951471355,0.48912453059999106,,,,,0
26,1,-0.768529578498,0.48867655559488554,,,,,0
27,6,-0.888793790318,0.48822899087712535,,,,,0
28,3,-0.672266630867,0.48778183607094017,,,,,0
29,1,-0.73412157614,0.48733509080090387,,,,,0
30,1,-0.710096047393,0.48688875469193416,,,,,0
31,1,-1.0,0.48644282736929223,55,14.5914237309,,,0
32,2,-0.677784965374,0.4859973084585825,,,,,0
33,1,-0.6815443035,0.48555219758575235,,,,,0
34,2,-0.748059341573,0.48510749437709166,,,,,0
35,1,-0.674894890003,0.4846631984592326,,,,,0
36,1,-0.611432475484,0.4842193094591493,,,,,0
37,2,-0.681880271318,0.4837758270041576,,,,,0
38,1,-0.673602907171,0.48333275072191456,,,,,0
39,1,-0.646568929256,0.48289008024041835,,,,,0
40,1,-0.707819658621,0.4824478151880078,,,,,0
41,2,-0.665799536457,0.4820059551933621,59,15.2706540203,,,0
42,2,-0.84544460401,0.4815644998855006,,,,,0
43,1,-0.738074466373,0.48112344889378234,,,,,0
44,2,-0.765511427979,0.4806828018479059,,,,,0
45,1,-0.721618879058,0.48024255837790897,,,,,0
46,2,-0.818988063513,0.4798027181141681,,,,,0
47,1,-0.776309816586,0.4793632806873983,,,,,0
48,1,-0.764733130866,0.4789242457286529,,,,,0
49,2,-1.01801162841,0.478485612869323,,,,,0
50,1,-0.702032004537,0.4780473817411375,,,,,0
51,2,-0.724918611929,0.47760955197616234,,,62,15.4320780706,0
52,2,-0.804865313393,0.47717212320680064,,,,,0
53,1,-0.661737983808,0.4767350950657921,,,,,0
54,1,-0.657401361665,0.4762984671862128,,,,,0
55,1,-0.741390933329,0.47586223920147497,,,,,0
56,2,-0.938377478521,0.4754264107453264,,,,,0
57,1,-0.729351222757,0.47499098145185037,,,,,0
58,1,-0.783791437133,0.47455595095546543,,,,,0
59,1,-0.757177052831,0.47412131889092485,,,,,0
60,1,-0.682681584715,0.4736870848933164,,,,,0
61,1,-0.71740474199,0.4732532485980621,1,-0.705695542067,,,0
62,1,-0.74394511125,0.4728198096409179,,,,,0
63,1,-0.719203071814,0.47238676765797327,,,,,0
64,1,-0.757608406183,0.47195412228565103,,,,,0
65,2,-1.03810840653,0.47152187316070704,,,,,0
66,1,-0.788070031057,0.47109001992022975,,,,,0
67,1,-0.738977304148,0.47065856220164004,,,,,0
68,2,-1.10406441259,0.4702274996426909,,,,,0
69,1,-0.786574513604,0.469796831881467,,,,,0
70,1,-0.733382602493,0.46936655855638454,,,,,0
71,1,-0.607524002788,0.4689366793061909,31,6.77661380529,,,0
72,1,-0.760726031652,0.4685071937699642,,,,,0
73,1,-0.720106071269,0.46807810158711327,,,,,0
74,1,-0.75324055707,0.4676494023973772,,,,,0
75,1,-0.737374851716,0.46722109584082483,,,,,0
76,1,-0.728948048346,0.4667931815578549,,,,,0
77,3,-0.702312020013,0.4663656591891953,,,,,0
78,1,-0.741600070255,0.46593852837590316,,,,,0
79,1,-0.626833756021,0.46551178875936416,,,,,0
80,1,-0.688627767205,0.46508543998129254,,,,,0
81,3,-1.02980059892,0.46465948168373067,1,-0.693069318158,,,0
82,3,0.266866679216,0.46423391350904875,,,,,0
83,1,-0.699461006002,0.46380873509994447,,,,,0
84,1,-1.0,0.4633839460994429,,,,,0
85,1,-0.650135367017,0.4629595461508959,,,,,0
86,1,-0.738853901905,0.46253553489798205,,,,,0
87,1,-0.650198993332,0.4621119119847063,,,,,0
88,1,-0.64928499252,0.46168867705539957,,,,,0
89,1,-0.613322305834,0.4612658297547186,,,,,0
90,1,-0.670061772597,0.4608433697276455,,,,,0
91,1,-0.728740421972,0.46042129661948766,1,-0.704648166219,,,0
92,1,-0.644967469975,0.4599996100758772,,,,,0
93,2,-0.65700631753,0.4595783097427708,,,,,0
94,2,-0.785042866479,0.4591573952664495,,,,,0
95,2,-0.885717219627,0.4587368662935182,,,,,0
96,2,-1.16865061045,0.45831672247090544,,,,,0
97,1,-0.735958239728,0.4578969634458633,,,,,0
98,1,-0.688640943163,0.45747758886596673,,,,,0
99,3,-0.647990538441,0.4570585983791136,,,,,0
100,1,-0.7568929277,0.4566399916335242,,,,,0
101,1,-0.641314644589,0.45622176827774097,,,2,-0.660539225354,0
102,1,-0.690318187458,0.45580392796062835,,,,,0
103,1,-0.713821775829,0.45538647033137225,,,,,0
104,1,-0.714863483976,0.4549693950394799,,,,,0
105,1,-0.750475866434,0.4545527017347797,,,,,0
106,1,-0.728766534651,0.4541363900674205,,,,,0
107,2,-0.668907264622,0.4537204596878718,,,,,0
108,1,-0.757798468225,0.45330491024692304,,,,,0
109,1,-0.638199050807,0.4528897413956836,,,,,0
110,1,-0.75558306645,0.4524749527855824,,,,,0
111,1,-0.729304275828,0.4520605440683676,1,-0.728903225341,,,0
112,1,-0.750175636776,0.45164651489610624,,,,,0
113,1,-0.717810246627,0.45123286492118414,,,,,0
114,1,-0.694663737288,0.4508195937963054,,,,,0
115,1,-0.730394580136,0.4504067011744922,,,,,0
116,4,-1.43900209029,0.4499941867090846,,,,,0
117,2,0.362878737277,0.44958205005374,,,,,0
118,1,-1,0.4491702908624332,,,,,0
119,2,-0.510466499263,0.44875890878945573,,,,,0
120,1,-0.659208202062,0.4483479034894159,,,,,0
121,1,-0.732264917455,0.4479372746172382,2,-0.7057441301,,,0
122,4,0.0694568474465,0.4475270218281633,,,,,0
123,1,-1,0.4471171447777475,,,,,0
124,2,-0.643977647458,0.4467076431218627,,,,,0
125,1,-0.618814586691,0.44629851651669583,,,,,0
126,2,-0.853133248516,0.4458897646187489,,,,,0
127,1,-0.723960019367,0.44548138708483837,,,,,0
128,1,-0.791050098127,0.445073383572095,,,,,0
129,1,-0.750059899286,0.4446657537379637,,,,,0
130,1,-0.719531300074,0.44425849724020294,,,,,0
131,1,-0.787158589932,0.4438516137368848,1,-0.770898648398,,,0
132,1,-0.619227344551,0.4434451028863945,,,,,0
133,3,0.269394927581,0.44303896434743006,,,,,0
134,1,-0.664610821103,0.4426331977790021,,,,,0
135,1,-0.674255159067,0.4422278028404336,,,,,0
136,1,-1.0,0.44182277919135954,,,,,0
137,2,-0.540195631668,0.44141812649172657,,,,,0
138,1,-0.71601817959,0.44101384440179286,,,,,0
139,1,-0.658509036624,0.4406099325821277,,,,,0
140,1,-0.713769895591,0.4402063906936113,,,,,0
