run_number,steps,rewards,exploration_probability,advancing_steps,advancing_rewards,testing_steps,testing_rewards,successful_network_update
1,2,-0.703531179629,1,,,2,-0.979040925503,1
2,1,-0.682121960816,0.9997592344278182,,,,,0
3,1,-0.769323430633,0.9995185268236972,2,-0.738811488226,,,1
4,1,-0.760745815494,0.9992778771736802,,,,,0
5,1,-0.778904072529,0.9990372854638139,1,-0.655353674182,,,1
6,2,-0.717159241438,0.9987967516801483,,,,,0
7,1,-0.633062732975,0.9985562758087366,4,-0.202012558921,,,1
8,1,-0.760240906667,0.9983158578356358,,,,,1
9,2,-0.683005583832,0.9980754977469058,1,-0.661497382382,,,1
10,2,-0.79219910101,0.9978351955286102,,,,,1
11,1,-0.766232153422,0.9975949511668156,,,2,-0.646840011158,1
12,1,-0.687682517661,0.9973547646475923,,,,,0
13,1,-0.781674946173,0.9971146359570138,1,-0.680711029265,,,1
14,1,-0.739722792727,0.9968745650811568,,,,,0
15,2,-0.729749043889,0.9966345520061015,1,-0.670515956079,,,1
16,1,-0.621507103951,0.9963945967179316,,,,,1
17,2,-0.924001096762,0.996154699202734,2,-0.78753273171,,,1
18,2,-0.928406259166,0.995914859446599,,,,,1
19,1,-0.75952858488,0.99567507743562,1,-0.613711853225,,,1
20,1,-0.728118902273,0.995435353155894,,,,,0
21,3,-0.927164185889,0.9951956865935215,,,1,-1.0,1
22,1,-0.690569581057,0.994956077734606,,,,,1
23,1,-0.726890372926,0.9947165265652546,2,-0.770040537161,,,1
24,3,-1.22582378169,0.9944770330715774,,,,,1
25,1,-0.767400039466,0.9942375972396883,12,0.0732651807647,,,1
26,3,-1.6014180851,0.9939982190557043,,,,,0
27,2,-0.639459898977,0.9937588985057457,1,-0.672785896163,,,1
28,1,-0.664116446594,0.9935196355759363,,,,,1
29,1,-0.684839136791,0.993280430252403,3,-0.855808658323,,,1
30,1,-0.61227529701,0.9930412825212763,,,,,1
31,1,-0.762908380171,0.9928021923686899,,,1,-1.0,1
32,1,-0.727191023841,0.992563159780781,,,,,0
33,1,-1,0.9923241847436899,2,-0.707954011646,,,1
34,1,-0.759621791659,0.9920852672435603,,,,,1
35,1,-0.739772522708,0.9918464072665393,2,-0.750201263101,,,1
36,1,-1,0.9916076047987773,,,,,1
37,2,-0.653211595086,0.9913688598264281,1,-0.608207896211,,,1
38,2,-0.780757169885,0.9911301723356488,,,,,1
39,1,-0.735008423043,0.9908915423125998,1,-1,,,1
40,3,-0.753768438201,0.9906529697434449,,,,,0
41,1,-0.718326623564,0.990414454614351,,,1,-0.612169091426,1
42,1,-0.712235608218,0.9901759969114886,,,,,1
43,1,-0.692442643922,0.9899375966210315,1,-1.0,,,1
44,1,-0.69394570448,0.9896992537291568,,,,,1
45,1,-0.653989544292,0.9894609682220448,1,-1.0,,,1
46,2,-0.698238221112,0.9892227400858793,,,,,1
47,1,-0.776901803275,0.9889845693068473,2,-0.801081978864,,,1
48,1,-0.783009404239,0.9887464558711392,,,,,0
49,3,-1.12415458397,0.9885083997649486,1,-0.728587943107,,,1
50,1,-0.63291660726,0.9882704009744727,,,,,1
51,2,-0.728453562678,0.9880324594859118,,,1,-0.623945237001,1
52,1,-0.789772202747,0.9877945752854695,,,,,1
53,1,-0.736727657072,0.9875567483593529,1,-0.741269299501,,,0
54,1,-0.768469095753,0.9873189786937722,,,,,1
55,2,-0.72049977184,0.9870812662749411,1,-0.717182027135,,,1
56,1,-0.729371798594,0.9868436110890765,,,,,1
57,1,-0.642462620772,0.9866060131223987,1,-0.614081011277,,,1
58,1,-0.602946128465,0.9863684723611313,,,,,0
59,1,-0.644317160393,0.9861309887915013,1,-0.618312961795,,,1
60,1,-0.759883515704,0.9858935623997387,,,,,0
61,1,-0.728533241947,0.9856561931720772,,,2,-0.981680624485,1
62,1,-0.660492326906,0.9854188810947536,,,,,1
63,1,-0.787547860856,0.9851816261540081,2,-0.689112070525,,,1
64,1,-0.777841069004,0.9849444283360841,,,,,0
65,2,-0.740132738372,0.9847072876272285,1,-0.712534285886,,,1
66,2,-0.914449546226,0.9844702040136913,,,,,1
67,1,-0.784894398566,0.9842331774817261,3,-1.16282604718,,,1
68,2,-1.16303301938,0.9839962080175895,,,,,0
69,1,-0.689389293646,0.9837592956075414,7,-0.351688404004,,,1
70,1,-0.770168458038,0.9835224402378453,,,,,1
71,1,-0.789168137806,0.9832856418947679,,,2,-0.705557970457,1
72,2,-0.842393996704,0.9830489005645789,,,,,0
73,1,-0.771903409312,0.9828122162335519,2,-0.793836589832,,,1
74,1,-0.768585893308,0.9825755888879631,,,,,0
75,1,-0.775072715302,0.9823390185140927,1,-0.670879251529,,,1
76,1,-0.688487017292,0.9821025050982236,,,,,0
77,1,-0.748393112462,0.9818660486266425,1,-0.688471440178,,,1
78,1,-0.766423086335,0.9816296490856391,,,,,0
79,1,-0.779376484077,0.9813933064615064,1,-0.690258084557,,,1
80,2,-0.915392226234,0.9811570207405408,,,,,0
81,2,-0.745369795306,0.980920791909042,,,2,-0.719217773093,1
82,1,-0.610320557443,0.980684619953313,,,,,1
83,1,-0.755142606659,0.9804485048596601,8,-0.774925003052,,,1
84,1,-0.669340300745,0.9802124466143928,,,,,0
85,1,-0.639129612451,0.979976445203824,2,-0.607489112947,,,1
86,2,-0.781344289282,0.9797405006142699,,,,,1
